mean_score,max_score,steps
13.4,20.0,257914
13.2,20.0,258754
12.6,20.0,259322
13.0,20.0,260154
13.3,20.0,260866
13.6,20.0,261681
13.0,16.0,262355
13.3,16.0,263034
12.7,16.0,263603
13.1,19.0,264498
12.6,19.0,265177
12.4,19.0,266081
12.7,19.0,266845
13.2,19.0,267899
13.1,19.0,268548
12.9,19.0,269338
12.6,19.0,269871
12.5,19.0,270592
12.8,19.0,271300
11.7,18.0,271819
12.2,18.0,272627
11.5,18.0,273068
11.7,18.0,273879
11.2,16.0,274698
11.7,16.0,275468
11.4,16.0,276051
11.3,16.0,276777
12.1,19.0,277715
12.2,19.0,278468
13.2,19.0,279372
13.2,19.0,280339
13.7,19.0,281105
13.2,19.0,281691
13.1,19.0,282439
13.1,19.0,283149
13.7,19.0,284088
14.5,19.0,285010
14.1,18.0,285871
14.8,19.0,286926
14.8,19.0,287899
15.2,20.0,288688
15.4,20.0,289511
16.0,20.0,290186
16.0,20.0,290925
16.4,20.0,291887
16.4,20.0,292830
16.0,20.0,293701
16.0,20.0,294416
15.8,20.0,295325
15.8,20.0,296179
14.8,19.0,296857
14.8,19.0,297479
14.6,19.0,298236
15.5,21.0,299363
15.0,21.0,300239
14.8,21.0,301011
15.9,25.0,301847
16.8,25.0,302810
15.8,25.0,303377
15.6,25.0,304330
16.2,25.0,305282
17.0,25.0,306386
17.9,25.0,307378
17.2,25.0,308258
17.8,25.0,309214
18.2,25.0,310005
17.0,24.0,310797
15.9,22.0,311688
17.3,22.0,312557
16.8,22.0,313226
16.6,22.0,313896
16.7,23.0,315044
15.7,23.0,315776
15.5,23.0,316583
14.4,23.0,317232
14.7,23.0,318190
14.5,23.0,318857
16.2,30.0,320056
15.6,30.0,320610
16.2,30.0,321618
15.9,30.0,322297
15.6,30.0,323194
16.2,30.0,324076
16.0,30.0,324769
16.9,30.0,325754
17.1,30.0,326933
18.4,30.0,327948
17.4,24.0,329007
17.1,24.0,329790
16.5,24.0,330557
16.5,24.0,331336
16.0,24.0,332215
15.6,24.0,332981
17.7,31.0,334162
17.4,31.0,334944
17.7,31.0,336048
16.1,31.0,336634
15.5,31.0,337499
15.3,31.0,338201
16.3,31.0,339110
16.8,31.0,340013
17.3,31.0,340978
17.6,31.0,341867
17.6,31.0,343026
17.5,31.0,343902
16.5,31.0,344836
18.6,31.0,345750
18.3,31.0,346430
18.2,31.0,347065
17.8,31.0,348014
17.6,31.0,348684
17.0,31.0,349335
17.8,31.0,350332
15.8,29.0,351057
15.8,29.0,351898
15.8,29.0,352735
15.1,24.0,353675
16.1,24.0,354619
16.3,24.0,355405
15.8,24.0,356067
16.8,24.0,357224
16.8,24.0,358121
18.1,37.0,359185
18.8,37.0,360002
19.7,37.0,361127
20.6,37.0,362304
19.9,37.0,363006
20.0,37.0,364015
21.3,37.0,365100
21.7,37.0,365939
20.4,37.0,366690
20.5,37.0,367617
18.1,24.0,368316
17.6,24.0,369133
18.4,31.0,370328
17.6,31.0,371118
19.1,31.0,372271
19.1,31.0,373294
18.2,31.0,374200
18.4,31.0,374889
19.1,31.0,375901
18.9,31.0,376748
20.1,31.0,378142
20.2,31.0,379033
18.2,30.0,379725
18.7,30.0,380775
17.5,25.0,381693
17.3,25.0,382447
17.9,25.0,383457
18.5,25.0,384459
18.2,25.0,385336
18.3,25.0,386213
19.0,32.0,387334
18.9,32.0,388111
19.5,32.0,388959
20.2,32.0,390149
19.9,32.0,390863
18.8,32.0,391560
18.8,32.0,392551
18.5,32.0,393612
19.5,32.0,394749
20.5,32.0,395772
18.0,28.0,396306
19.3,28.0,397408
20.6,30.0,398520
21.0,32.0,399573
20.7,32.0,400351
21.9,32.0,401318
22.3,32.0,402377
22.4,32.0,403394
22.2,32.0,404086
21.5,32.0,404996
22.7,32.0,406065
21.2,32.0,406813
